   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
      1760   9.0764975             64   479.943       -655.16445      9.0764975      9.0764975      9.0764975      141135.81      140546.94      128994.2       153866.3     
      1770   9.0765039             64   518.43011     -655.44652      9.0765039      9.0765039      9.0765039      169709.7       161927.29      162743.79      184458.01    
      1780   9.0765103             64   514.56369     -655.42836      9.0765103      9.0765103      9.0765103      193768.01      184373.89      193478.2       203451.93    
      1790   9.0765167             64   452.36545     -654.94161      9.0765167      9.0765167      9.0765167      189433.69      183414.29      188331.98      196554.8     
      1800   9.0765232             64   570.56544     -655.89993      9.0765232      9.0765232      9.0765232      169707.92      168468.63      157397.81      183257.3     
      1810   9.0765298             64   547.67659     -655.69453      9.0765298      9.0765298      9.0765298      157147.59      157714.01      139372.65      174356.12    
      1820   9.0765364             64   527.31437     -655.56751      9.0765364      9.0765364      9.0765364      155166.64      156692.54      136439.15      172368.23    
      1830   9.076543              64   500.59404     -655.36585      9.076543       9.076543       9.076543       164769.14      164664.7       148869.81      180772.9     
      1840   9.0765497             64   543.11385     -655.70542      9.0765497      9.0765497      9.0765497      179950.52      178057.38      167692.92      194101.26    
      1850   9.0765564             64   523.06052     -655.53284      9.0765564      9.0765564      9.0765564      188848.28      193681.96      177252.2       195610.69    
      1860   9.0765632             64   531.968       -655.58988      9.0765632      9.0765632      9.0765632      181806.7       192695.67      165840.03      186884.41    
      1870   9.07657               64   517.16051     -655.39902      9.07657        9.07657        9.07657        181924.94      184827.14      168062.7       192884.98    
      1880   9.0765768             64   453.40829     -654.91433      9.0765768      9.0765768      9.0765768      182722.23      186080.49      174531.83      187554.37    
      1890   9.0765837             64   566.69131     -655.81517      9.0765837      9.0765837      9.0765837      167926.04      172133.24      163592.67      168052.21    
      1900   9.0765907             64   490.46334     -655.18993      9.0765907      9.0765907      9.0765907      172788.75      176711.53      165088.96      176565.75    
      1910   9.0765977             64   536.9002      -655.60319      9.0765977      9.0765977      9.0765977      178739.41      181981.39      168959.81      185277.03    
      1920   9.0766047             64   524.28627     -655.48857      9.0766047      9.0766047      9.0766047      177789.52      179624.64      173236.63      180507.3     
      1930   9.0766118             64   629.95766     -656.34902      9.0766118      9.0766118      9.0766118      180123.42      175899.39      176782.59      187688.29    
      1940   9.0766189             64   532.30232     -655.57432      9.0766189      9.0766189      9.0766189      196068.48      190354.17      193682.98      204168.3     
      1950   9.0766261             64   538.88918     -655.61847      9.0766261      9.0766261      9.0766261      198840.07      199678.58      193256.95      203584.68    
      1960   9.0766333             64   464.11533     -654.99566      9.0766333      9.0766333      9.0766333      193258.74      195571.89      184026.92      200177.41    
      1970   9.0766405             64   517.61804     -655.44439      9.0766405      9.0766405      9.0766405      172071.46      175195.5       162018.58      179000.3     
      1980   9.0766479             64   510.28828     -655.40713      9.0766479      9.0766479      9.0766479      179082.47      181190.62      167017.84      189038.95    
      1990   9.0766552             64   485.90776     -655.20085      9.0766552      9.0766552      9.0766552      195520.04      196662.37      182206.51      207691.24    
      2000   9.0766626             64   527.32564     -655.50181      9.0766626      9.0766626      9.0766626      207891.14      213435.13      192619.92      217618.38    
      2010   9.0766701             64   512.47893     -655.41335      9.0766701      9.0766701      9.0766701      213600.46      221173.68      197709.43      221918.27    
      2020   9.0766776             64   517.35606     -655.43671      9.0766776      9.0766776      9.0766776      196538.86      200243.88      186734.87      202637.82    
      2030   9.0766852             64   523.48352     -655.4858       9.0766852      9.0766852      9.0766852      169969.44      169211.67      161942.36      178754.28    
      2040   9.0766928             64   470.30225     -655.05004      9.0766928      9.0766928      9.0766928      166592.29      164635.08      159398.86      175742.94    
      2050   9.0767004             64   471.07773     -655.03159      9.0767004      9.0767004      9.0767004      171333.21      172913.87      165356.46      175729.3     
      2060   9.0767081             64   538.14298     -655.58882      9.0767081      9.0767081      9.0767081      164103.26      168676.99      151152.23      172480.56    
      2070   9.0767159             64   468.51282     -655.04531      9.0767159      9.0767159      9.0767159      164406.93      170096.17      147377.58      175747.04    
      2080   9.0767236             64   489.51874     -655.16448      9.0767236      9.0767236      9.0767236      165574.14      168868.6       155260.27      172593.54    
      2090   9.0767314             64   521.58801     -655.42179      9.0767314      9.0767314      9.0767314      159939.41      163640.91      148677.13      167500.19    
      2100   9.0767393             64   506.96571     -655.28999      9.0767393      9.0767393      9.0767393      154191.25      155777.16      143608.83      163187.77    
      2110   9.0767472             64   475.94571     -655.06597      9.0767472      9.0767472      9.0767472      176115.14      173748.94      167696.59      186899.89    
      2120   9.0767551             64   483.83178     -655.14808      9.0767551      9.0767551      9.0767551      201178.78      201303.64      194863.77      207368.92    
      2130   9.0767631             64   516.05654     -655.39438      9.0767631      9.0767631      9.0767631      196944.84      202498.56      180050.39      208285.57    
