   Step           Lx          Atoms         Temp          PotEng           Lx             Ly             Lz           Press           Pxx            Pyy            Pzz      
      8900   9.2396602             64   267.7029      -469.7767       9.2396602      9.2396602      9.2396602     -1370.2951      1351.0257     -1073.7374     -4388.1737    
      9000   9.2396531             64   360.29556     -469.85144      9.2396531      9.2396531      9.2396531     -78.822076      3365.2275     -489.1899      -3112.5038    
      9100   9.2396459             64   333.1446      -469.93015      9.2396459      9.2396459      9.2396459     -1790.909      -1463.7304     -1943.2812     -1965.7154    
      9200   9.2396387             64   351.74164     -470.64341      9.2396387      9.2396387      9.2396387     -3412.0605     -3299.5899     -2209.4405     -4727.1512    
      9300   9.2396314             64   310.67312     -470.48036      9.2396314      9.2396314      9.2396314     -1745.715      -2933.325       1375.255      -3679.0749    
      9400   9.2396241             64   293.22372     -470.34746      9.2396241      9.2396241      9.2396241     -3438.1389     -4872.8554     -633.09097     -4808.4704    
      9500   9.2396167             64   277.2297      -469.87358      9.2396167      9.2396167      9.2396167     -2357.4115     -3092.2588      2431.9905     -6411.966     
      9600   9.2396092             64   338.5748      -469.72918      9.2396092      9.2396092      9.2396092     -94.814958     -3713.3607      6211.0729     -2782.1571    
      9700   9.2396017             64   275.33965     -469.38519      9.2396017      9.2396017      9.2396017     -1303.3193     -2993.2896      4512.3787     -5429.0468    
      9800   9.2395942             64   299.48047     -470.00091      9.2395942      9.2395942      9.2395942     -1261.7644     -3066.6397      2267.9876     -2986.6411    
      9900   9.2395866             64   332.30514     -470.42287      9.2395866      9.2395866      9.2395866     -2418.3713     -1075.4736     -1120.2589     -5059.3813    
     10000   9.2395789             64   303.91539     -470.37633      9.2395789      9.2395789      9.2395789     -3460.5035     -3394.805      -3715.7993     -3270.9061    
     10100   9.2395712             64   330.14852     -470.64561      9.2395712      9.2395712      9.2395712     -3015.9839      534.06443     -3080.6704     -6501.3457    
     10200   9.2395634             64   327.51626     -470.6398       9.2395634      9.2395634      9.2395634     -2721.5953     -319.62749     -4476.5579     -3368.6004    
     10300   9.2395555             64   302.08941     -470.2168       9.2395555      9.2395555      9.2395555     -2362.4169      359.46435     -4289.5552     -3157.1599    
     10400   9.2395476             64   315.78496     -469.93463      9.2395476      9.2395476      9.2395476     -1023.5834      2491.7252      120.94975     -5683.4252    
     10500   9.2395396             64   314.51565     -469.89013      9.2395396      9.2395396      9.2395396     -568.25634      2178.47       -611.72532     -3271.5137    
     10600   9.2395315             64   236.61004     -469.8405       9.2395315      9.2395315      9.2395315     -2730.8677      1403.5039     -3410.2541     -6185.8531    
     10700   9.2395234             64   280.71304     -470.46996      9.2395234      9.2395234      9.2395234     -3981.454      -1825.9956     -4646.4696     -5471.8967    
     10800   9.2395152             64   269.03586     -470.26405      9.2395152      9.2395152      9.2395152     -3086.0421     -2617.0537     -4000.0662     -2641.0063    
     10900   9.2395069             64   301.35137     -470.19034      9.2395069      9.2395069      9.2395069     -3117.3292     -152.70214     -3361.3662     -5837.9192    
     11000   9.2394985             64   359.93705     -470.35291      9.2394985      9.2394985      9.2394985     -2431.2357     -678.76355     -1807.1447     -4807.7987    
     11100   9.2394901             64   342.13623     -470.26006      9.2394901      9.2394901      9.2394901     -3344.3119     -2219.8604     -1527.9598     -6285.1154    
     11200   9.2394816             64   342.90638     -470.39537      9.2394816      9.2394816      9.2394816     -2300.5478     -1979.3775     -909.65296     -4012.613     
     11300   9.239473              64   336.59083     -470.43209      9.239473       9.239473       9.239473      -1861.6187     -2405.1812      2203.5211     -5383.1961    
     11400   9.2394644             64   239.64827     -469.88237      9.2394644      9.2394644      9.2394644     -1980.5395     -1904.7352      1505.5427     -5542.4261    
     11500   9.2394557             64   258.15363     -470.18043      9.2394557      9.2394557      9.2394557     -3234.4033     -4032.5063     -941.64395     -4729.0597    
     11600   9.239447              64   298.37966     -470.45697      9.239447       9.239447       9.239447      -2714.7993     -1701.5336     -1086.5203     -5356.3442    
     11700   9.2394381             64   238.1312      -469.53603      9.2394381      9.2394381      9.2394381     -614.84689     -1005.1982      1361.8657     -2201.2081    
     11800   9.2394292             64   335.45015     -469.95411      9.2394292      9.2394292      9.2394292     -2771.9577     -1062.2725     -2324.9033     -4928.6973    
     11900   9.2394203             64   345.22586     -470.21967      9.2394203      9.2394203      9.2394203     -1616.8258     -4438.2083      2824.6737     -3236.9427    
     12000   9.2394113             64   260.26762     -470.00764      9.2394113      9.2394113      9.2394113     -3015.3137     -3736.5704     -3825.2121     -1484.1585    
     12100   9.2394022             64   284.05667     -470.27657      9.2394022      9.2394022      9.2394022     -2726.2121     -2908.2119     -433.1471      -4837.2773    
     12200   9.239393              64   297.79867     -470.29534      9.239393       9.239393       9.239393      -1164.0409     -265.40474      2595.9038     -5822.6216    
     12300   9.2393838             64   293.57121     -470.10736      9.2393838      9.2393838      9.2393838     -2376.3499      466.2681      -2897.1715     -4698.1462    
